URL,Title,Sub Title,Rating,"Reviews ",Price,Description and Shipping,ASIN,Image URL
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAyNjc2OTM2MDAyNDEwOjE2Njg2MjU4MzM6c3BfbXRmOjIwMDA5MzgzNDUzNjQ5ODo6MDo6&url=%2FPalladio-Five-Color-Hues-Shimmering-Pigmented-Flawless%2Fdp%2FB002NYLLYA%2Fref%3Dsr_1_36_sspa%3Fcrid%3D32KL6R446VQOI%26keywords%3Dblush%26qid%3D1668625833%26sprefix%3Dblush%252Caps%252C92%26sr%3D8-36-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Palladio 2-In-1 Mosaic Blush and Bronzer, Silky Smooth Face Makeup Pressed Powder, Five Color Hues from Shimmering Pinks to Golden Browns, Rich Pigmented Shades, Flawless Finish, Desert Rose, 0.3 Oz",Sponsored,4.2 out of 5 stars,546,$8.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18||Small Business|Small Business|Small Business|<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""50px"" width=""50px""/>  Small Business|<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""50px"" width=""50px""/>  Small Business",B002NYLLYA,https://m.media-amazon.com/images/I/71sH0MyFmkL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png|
https://www.amazon.com/wild-Color-Powder-Blush-Pinch/dp/B082YPNTZ4/ref=sr_1_37?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-37,"Wet n Wild Color Icon Blush Powder Makeup, Pinch Me Pink | Matte Natural Glow | Moisturizing Jojoba Oil",1 Count (Pack of 1),4.3 out of 5 stars,"6,195",$3.18,"FREE delivery Wed, Nov 23 on $25 of items shipped by AmazonOr fastest delivery Sun, Nov 20|",B082YPNTZ4,https://m.media-amazon.com/images/I/81LILpus+PL._AC_UL320_.jpg
https://www.amazon.com/Matte-Liquid-Cream-Makeup-Lightweight/dp/B096LSDVSR/ref=sr_1_38?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-38,"Matte Liquid Cream Blush Makeup Lightweight - Velvet Mousse Texture, Breathable Feel, Sheer Flush Of Color, Natural-Looking, Blush Stick for Cheek, Advanced Hazy Feeling(#01#02#03)",3 Count (Pack of 1),4.1 out of 5 stars,"1,043",$8.98,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B096LSDVSR,https://m.media-amazon.com/images/I/61IdgkGXaSL._AC_UL320_.jpg
https://www.amazon.com/Physicians-Formula-Murumuru-Butter-Blush/dp/B085M5TNC9/ref=sr_1_39?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-39,"Blush By Physicians Formula Murumuru Butter Blush Makeup Powder, Saucy Mauve",0.26 Ounce (Pack of 1),4.5 out of 5 stars,"1,166",$9.58,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B085M5TNC9,https://m.media-amazon.com/images/I/91XqL-wHBpL._AC_UL320_.jpg
https://www.amazon.com/COVERGIRL-Trueblend-Flushed-Pigment-Bronzer/dp/B088P51BYY/ref=sr_1_40?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-40,"COVERGIRL COVERGIRL Trueblend so Flushed High Pigment Blush & Bronzer, Love Me, Love Me, 0.33 Ounce",0.33 Fl Oz (Pack of 1),4.3 out of 5 stars,"2,375",$7.94,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B088P51BYY,https://m.media-amazon.com/images/I/81HJhzitJUL._AC_UL320_.jpg
https://www.amazon.com/Milani-Cheek-Liquid-Blush-Makeup/dp/B089NGY776/ref=sr_1_41?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-41,"Milani Cheek Kiss Liquid Blush Makeup - Blendable & Buildable Cheek Blush, Lightweight Liquid Blusher and Cheek Color",1 Count (Pack of 1),4.3 out of 5 stars,"1,067",$7.97,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18||Small Business|Small Business|Small Business|<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""50px"" width=""50px""/>  Small Business|<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""50px"" width=""50px""/>  Small Business",B089NGY776,https://m.media-amazon.com/images/I/71fAMjRnSML._AC_UL320_.jpg|https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png|
https://www.amazon.com/NYX-Professional-Makeup-Powder-0-14-Ounce/dp/B002QI4S9S/ref=sr_1_42?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-42,"NYX Professional Makeup Powder Blush, Mocha, 0.14-Ounce",0.14 Ounce (Pack of 1),4.3 out of 5 stars,"4,603",$5.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B002QI4S9S,https://m.media-amazon.com/images/I/51Yc2c80d0L._AC_UL320_.jpg
https://www.amazon.com/Ucanbe-Waterproof-Colors-Blusher-Palette/dp/B00WG6WLUI/ref=sr_1_43?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-43,Ucanbe Waterproof 5 Colors Blusher Palette with Blush Brush,1.41 Ounce (Pack of 1),4.2 out of 5 stars,"2,092",$13.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18||Climate Pledge Friendly|Climate Pledge Friendly|Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png"" height=""50px"" width=""50px""/>  Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png"" height=""50px"" width=""50px""/>  Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/41Y2L-DZWfL._SS200_.png"" height=""50px"" width=""50px""/> Compact by Design (Certified by Amazon)",B00WG6WLUI,https://m.media-amazon.com/images/I/51FmE39GRuL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png||
https://www.amazon.com/Physicians-Formula-Murumuru-Butter-Natural/dp/B01N9LBVPF/ref=sr_1_44?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-44,"Blush By Physicians Formula Murumuru Butter Blush Makeup Powder, Natural Glow",0.26 Ounce (Pack of 1),3.9 out of 5 stars,"1,801",$10.30,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B01N9LBVPF,https://m.media-amazon.com/images/I/91YKjshVutL._AC_UL320_.jpg
https://www.amazon.com/Makeup-Mineral-Liquid-Fibers-Ergonomic/dp/B01EO2KP2M/ref=sr_1_45?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-45,wet n wild Makeup Brush| Blush Brush| For Mineral & Liquid Makeup| Plush Fibers| Ergonomic Handle,1 Count (Pack of 1),4.5 out of 5 stars,"18,070",$3.49,FREE delivery on $25 shipped by Amazon.,B01EO2KP2M,https://m.media-amazon.com/images/I/51LPqq-7+cL._AC_UL320_.jpg
