docno,URL,text
d152,https://www.amazon.com/Amazon-Basics-Lightweight-Microfiber-Pockets/dp/B07QVRF4YX/ref=sxin_15_trfobq2a_0_B07QVRF4YX?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B07QVRF4YX&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-1-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Lightweight Super Soft Easy Care Microfiber Bed Sheet Set with 14” Deep Pockets - Queen Blush Pink Product Description
d153,https://www.amazon.com/Amazon-Basics-Lightweight-Microfiber-Pockets/dp/B07QVRF4YX/ref=sxin_15_trfobq2a_0_B07QVRF4YX?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B07QVRF4YX&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-1-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Lightweight Super Soft Easy Care Microfiber Bed Sheet Set with 14” Deep Pockets - Queen Blush Pink Product Description
d154,https://www.amazon.com/Amazon-Basics-Shaggy-Sherpa-Blanket/dp/B08FTNS7XF/ref=sxin_15_trfobq2a_1_B08FTNS7XF?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B08FTNS7XF&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-2-c944532c-3909-4a2a-84a2-570d2ee3cd13,"Amazon Basics Shaggy Long Fur Faux Fur Sherpa Throw Blanket 50""x60"" - Peach Blush Product Description"
d155,https://www.amazon.com/Vital-Luxury-Skincare-Fragrance-Lavender/dp/B098DQLCV6/ref=sxin_15_trfobq2a_2_B098DQLCV6?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B098DQLCV6&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-3-c944532c-3909-4a2a-84a2-570d2ee3cd13,Vital Luxury Bath & Body Kit 3 Fl Oz Ideal Skincare Gift Home Spa Set Includes Body Lotion Shower Gel Body Cream and Fragrance Mist (Lavender Vanilla Blush)
d156,https://www.amazon.com/AmazonBasics-Pinch-Down-Alternative-Comforter-Bedding/dp/B0831ZFM8Y/ref=sxin_15_trfobq2a_3_B0831ZFM8Y?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B0831ZFM8Y&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-4-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Pinch Pleat All-Season Down-Alternative Comforter Bedding Set - Twin / Twin XL Blush Product Description
d157,https://www.amazon.com/Amazon-Basics-Cotton-Jersey-Quilt/dp/B08FY89QSG/ref=sxin_15_trfobq2a_4_B08FY89QSG?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B08FY89QSG&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-5-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Cotton Jersey Quilt and Sham Bed Set Down-Alternative Quilt - Twin/Twin XL Blush Product Description
d158,https://www.amazon.com/AmazonBasics-Light-Weight-Microfiber-Zipper-Closure/dp/B08356JSG9/ref=sxin_15_trfobq2a_5_B08356JSG9?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B08356JSG9&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-6-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Light-Weight Microfiber Duvet Cover Set with Zipper Closure - Full/Queen Blush Pink Product Description
d159,https://www.amazon.com/AmazonBasics-College-Elastic-Storage-Pockets/dp/B0835F4D12/ref=sxin_15_trfobq2a_6_B0835F4D12?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B0835F4D12&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-7-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Basics Reversible Microfiber Bed-in-a-Bag with Elastic Storage Pockets - Twin/Twin XL Blush Dotted Stripe Product Description
d160,https://www.amazon.com/Amazon-Essentials-Womens-Standard-Lightweight/dp/B07N7ZJGG1/ref=sxin_15_trfobq2a_7_B07N7ZJGG1?content-id=amzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48%3Aamzn1.sym.2500a036-1c45-42a8-89a2-72bf8896ce48&crid=32KL6R446VQOI&cv_ct_cx=blush&keywords=blush&pd_rd_i=B07N7ZJGG1&pd_rd_r=09707618-482a-4e82-a17b-200c1e766fd1&pd_rd_w=xlaCS&pd_rd_wg=BbEIW&pf_rd_p=2500a036-1c45-42a8-89a2-72bf8896ce48&pf_rd_r=29FFZ292MYSZ783H8VPC&qid=1668625833&sprefix=blush%2Caps%2C92&sr=1-8-c944532c-3909-4a2a-84a2-570d2ee3cd13,Amazon Essentials Women's Lightweight Lounge Terry Jogger Pajama Pant
d161,https://www.amazon.com/Maybelline-Lightweight-Blendable-Long-lasting-Enhancing/dp/B06XDYKJDJ/ref=sr_1_7?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-7,"Maybelline Fit Me Blush Lightweight Smooth Blendable Long-lasting All-Day Face Enhancing Makeup Color Pink 1 Count Enhance skin tone with a natural blush. True-to-tone color blends seamlessly. Now Fit happens with a flattering natural yet noticeable blush. • True-to-tone color • Creamy and smooth texture for effortless blending • Available in a collection of shades designed to complement any skin tone • Wears evenly Packaging may vary, what you receive may not be what is reflected on site. Sweep blush onto the apples of the cheeks from the cheekbones to temples."
